gene,function,category,functional_group
SAOUHSC_00122,capsular polysaccharide biosynthesis protein Cap5I,,Unknown/Hypothetical
SAOUHSC_00123,capsular polysaccharide biosynthesis protein Cap5J,Cell envelope,Cell envelope
SAOUHSC_00124,capsular polysaccharide biosynthesis protein Cap5K,,Unknown/Hypothetical
SAOUHSC_00125,cap5L protein/glycosyltransferase,,Unknown/Hypothetical
SAOUHSC_00126,capsular polysaccharide biosynthesis protein Cap8M,,Unknown/Hypothetical
SAOUHSC_00127,cap5N protein/UDP-glucose 4-epimerase,Cell envelope,Cell envelope
SAOUHSC_00128,cap5O protein/UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase,,Unknown/Hypothetical
SAOUHSC_00129,UDP-N-acetylglucosamine 2-epimerase,Cell envelope,Cell envelope
SAOUHSC_00130,heme-degrading monooxygenase IsdI,,Unknown/Hypothetical
SAOUHSC_00131,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00132,aldehyde dehydrogenase,Cellular processes,Cellular processes
SAOUHSC_00133,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_00134,hypothetical protein,Energy metabolism,Energy metabolism
SAOUHSC_00135,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00136,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_00137,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_00138,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_00139,hypothetical protein,Central intermediary metabolism,Central metabolism
SAOUHSC_00141,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00142,formate dehydrogenase,Amino acid biosynthesis,Amino acid metabolism
SAOUHSC_00143,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00144,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00145,hypothetical protein,Protein fate,Protein fate
SAOUHSC_00146,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00147,acetylglutamate kinase,Amino acid biosynthesis,Amino acid metabolism
SAOUHSC_00148,bifunctional ornithine acetyltransferase/N-acetylglutamate synthase,Amino acid biosynthesis,Amino acid metabolism
SAOUHSC_00149,N-acetyl-gamma-glutamyl-phosphate reductase,Amino acid biosynthesis,Amino acid metabolism
SAOUHSC_00150,ornithine aminotransferase,,Unknown/Hypothetical
SAOUHSC_00151,branched-chain amino acid transport system II carrier protein,Transport and binding proteins,Transport
SAOUHSC_00152,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00153,indolepyruvate decarboxylase,Central intermediary metabolism,Central metabolism
SAOUHSC_00154,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00155,PTS system glucose-specific protein,Transport and binding proteins,Transport
SAOUHSC_00156,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00157,N-acetylmuramic acid-6-phosphate etherase,Cell envelope,Cell envelope
SAOUHSC_00158,PTS system transporter,,Unknown/Hypothetical
SAOUHSC_00160,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00161,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00162,HsdR family type I site-specific deoxyribonuclease,DNA metabolism,DNA metabolism
SAOUHSC_00163,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00164,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00166,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00167,peptide ABC transporter ATP-binding protein,Transport and binding proteins,Transport
SAOUHSC_00168,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_00169,peptide ABC transporter permease,Transport and binding proteins,Transport
SAOUHSC_00170,RGD-containing lipoprotein,,Unknown/Hypothetical
SAOUHSC_00171,gamma-glutamyltranspeptidase,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_00172,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00173,azoreductase,,Unknown/Hypothetical
SAOUHSC_00174,M23/M37 peptidase domain-containing protein,,Unknown/Hypothetical
SAOUHSC_00175,multiple sugar-binding transport ATP-binding protein,Transport and binding proteins,Transport
SAOUHSC_00176,extracellular solute-binding protein,,Unknown/Hypothetical
SAOUHSC_00177,maltose ABC transporter permease,Transport and binding proteins,Transport
SAOUHSC_00178,maltose ABC transporter permease,,Unknown/Hypothetical
SAOUHSC_00179,hypothetical protein,Energy metabolism,Energy metabolism
SAOUHSC_00180,hypothetical protein,Energy metabolism,Energy metabolism
SAOUHSC_00181,hypothetical protein,Energy metabolism,Energy metabolism
SAOUHSC_00182,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00183,sugar phosphate antiporter,Transport and binding proteins,Transport
SAOUHSC_00184,response regulator receiver domain-containing protein,,Unknown/Hypothetical
SAOUHSC_00185,hypothetical protein,Cellular processes,Cellular processes
SAOUHSC_00186,lipoprotein,Transport and binding proteins,Transport
SAOUHSC_00187,formate acetyltransferase,Energy metabolism,Energy metabolism
SAOUHSC_00188,pyruvate formate-lyase 1 activating enzyme,Energy metabolism; Protein fate,Energy metabolism
SAOUHSC_00190,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00191,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00192,staphylocoagulase,,Virulence
SAOUHSC_00193,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00194,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00195,acetyl-CoA acetyltransferase,Fatty acid and phospholipid metabolism,Lipid metabolism
SAOUHSC_00196,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00197,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00198,hypothetical protein,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_00199,acyl CoA:acetate/3-ketoacid CoA transferase,,Unknown/Hypothetical
SAOUHSC_00200,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00201,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_00202,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00203,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00204,globin domain-containing protein,Energy metabolism,Energy metabolism
SAOUHSC_00205,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00206,L-lactate dehydrogenase,Energy metabolism,Energy metabolism
SAOUHSC_00208,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00209,PTS system glucose-specific transporter subunit IIBC,Transport and binding proteins,Transport
SAOUHSC_00211,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00212,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00213,hypothetical protein,Signal transduction,Signal transduction
SAOUHSC_00214,PTS system transporter subunit IIA,Signal transduction; Transport and binding proteins,Signal transduction
SAOUHSC_00215,PTS system transporter,Signal transduction; Transport and binding proteins,Signal transduction
SAOUHSC_00216,PTS system transporter,Signal transduction; Transport and binding proteins,Signal transduction
SAOUHSC_00217,sorbitol dehydrogenase,Energy metabolism,Energy metabolism
SAOUHSC_00218,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00219,hypothetical protein,Energy metabolism,Energy metabolism
SAOUHSC_00220,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_00221,alcohol dehydrogenase,Energy metabolism,Energy metabolism
SAOUHSC_A00219,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00222,teichoic acid biosynthesis protein TagB,,Cell envelope
SAOUHSC_00223,teichoic acid biosynthesis protein F,,Cell envelope
SAOUHSC_00225,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_00226,hypothetical protein,Energy metabolism,Energy metabolism
SAOUHSC_00227,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00228,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00229,cell wall biosynthesis protein ScdA,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_00230,two-component sensor histidine kinase,Signal transduction,Signal transduction
SAOUHSC_00231,two-component response regulator,Regulatory functions,Regulatory
SAOUHSC_00232,murein hydrolase regulator LrgA,,Unknown/Hypothetical
SAOUHSC_00233,antiholin-like protein LrgB,Hypothetical proteins,Unknown/Hypothetical
SAOUHSC_00234,hypothetical protein,Regulatory functions,Regulatory
SAOUHSC_00235,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00236,6-phospho-beta-glucosidase,,Unknown/Hypothetical
SAOUHSC_00237,hypothetical protein,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_00238,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00239,ribokinase,Energy metabolism,Energy metabolism
SAOUHSC_00240,D-ribose pyranase,,Unknown/Hypothetical
SAOUHSC_00241,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_00242,hypothetical protein,Regulatory functions,Regulatory
SAOUHSC_00243,NADH dehydrogenase subunit,,Unknown/Hypothetical
SAOUHSC_00244,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00245,putative transposase,,Unknown/Hypothetical
SAOUHSC_00246,drug transporter,Cellular processes; Transport and binding proteins,Cellular processes
SAOUHSC_00247,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00248,peptidoglycan hydrolase,Transcription,Transcription
SAOUHSC_00249,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_00250,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00251,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00253,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00254,hypothetical protein,Energy metabolism,Energy metabolism
SAOUHSC_00255,hypothetical protein,Cell envelope,Cell envelope
SAOUHSC_00256,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00257,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00258,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00259,hypothetical protein,Protein fate,Protein fate
SAOUHSC_00260,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00261,hypothetical protein,Protein fate,Protein fate
SAOUHSC_00262,hypothetical protein,Protein fate,Protein fate
SAOUHSC_00264,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00265,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00266,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00267,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00268,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00269,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00270,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00271,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00272,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00274,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00275,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00276,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00277,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00278,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00279,hypothetical protein,Cell envelope,Cell envelope
SAOUHSC_00280,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00281,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_00282,branched-chain amino acid transport system II carrier protein,Transport and binding proteins,Transport
SAOUHSC_00284,5'-nucleotidase,"Biosynthesis of cofactors, prosthetic groups, and carriers; Transport and binding proteins",Cofactor biosynthesis
SAOUHSC_A00283,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00285,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_00287,ABC transporter ATP-binding protein,,Unknown/Hypothetical
SAOUHSC_00289,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00290,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00291,PfkB family carbohydrate kinase,Energy metabolism,Energy metabolism
SAOUHSC_00292,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00293,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_00294,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_00295,N-acetylneuraminate lyase,Cell envelope; Central intermediary metabolism,Cell envelope
SAOUHSC_00296,ROK family protein,Unknown function,Unknown/Hypothetical
SAOUHSC_00297,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00298,N-acetylmannosamine-6-phosphate 2-epimerase,,Unknown/Hypothetical
SAOUHSC_00299,hypothetical protein,Cellular processes,Cellular processes
SAOUHSC_00300,lipase,,Virulence
SAOUHSC_00301,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00302,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00303,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00304,hypothetical protein,Unknown function,Unknown/Hypothetical
SAOUHSC_00305,hypothetical protein,Energy metabolism,Energy metabolism
SAOUHSC_00306,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00307,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00308,hypothetical protein,Protein fate,Protein fate
SAOUHSC_00309,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00310,PTS system ascorbate-specific transporter subunit IIC,,Unknown/Hypothetical
SAOUHSC_00311,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00312,hypothetical protein,Signal transduction; Transport and binding proteins,Signal transduction
SAOUHSC_00313,hypothetical protein,Signal transduction; Transport and binding proteins,Signal transduction
SAOUHSC_00314,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00315,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_00316,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00317,glycerol-3-phosphate transporter,Transport and binding proteins,Transport
SAOUHSC_00318,hypothetical protein,Energy metabolism,Energy metabolism
SAOUHSC_00319,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00320,NADPH-dependent FMN reductase,,Unknown/Hypothetical
SAOUHSC_00322,hypothetical protein,Hypothetical proteins,Unknown/Hypothetical
SAOUHSC_00323,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00324,50S ribosomal protein L7 serine acetyltransferase,,Unknown/Hypothetical
SAOUHSC_00325,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00326,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00327,hypothetical protein,Unknown function,Unknown/Hypothetical
SAOUHSC_00328,hypothetical protein,Protein fate,Protein fate
SAOUHSC_00329,mttA/Hcf106 family protein-like protein,Protein fate,Protein fate
SAOUHSC_00330,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00331,hypothetical protein,Regulatory functions,Regulatory
SAOUHSC_00332,hypothetical protein,Protein fate,Protein fate
SAOUHSC_00333,ABC transporter ATP-binding protein,,Unknown/Hypothetical
SAOUHSC_00334,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00335,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_A00332,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00336,acetyl-CoA acyltransferase,Fatty acid and phospholipid metabolism,Lipid metabolism
SAOUHSC_00337,hypothetical protein,Energy metabolism,Energy metabolism
SAOUHSC_00338,5-methyltetrahydropteroyltriglutamate-- homocysteine S-methyltransferase,Amino acid biosynthesis,Amino acid metabolism
SAOUHSC_00339,"bifunctional homocysteine S-methyltransferase/5,10-methylenetetrahydrofolate reductase",Amino acid biosynthesis,Amino acid metabolism
SAOUHSC_00340,trans-sulfuration enzyme family protein,,Unknown/Hypothetical
SAOUHSC_00341,hypothetical protein,Amino acid biosynthesis,Amino acid metabolism
SAOUHSC_00342,ParB family chromosome partioning protein,,Unknown/Hypothetical
SAOUHSC_00344,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00345,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00346,GTP-dependent nucleic acid-binding protein EngD,Unknown function,Unknown/Hypothetical
SAOUHSC_00347,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00348,30S ribosomal protein S6,Protein synthesis,Translation
SAOUHSC_00349,bacteriophage L54a single-stranded DNA binding protein,DNA metabolism,DNA metabolism
SAOUHSC_00350,30S ribosomal protein S18,Protein synthesis,Translation
SAOUHSC_00351,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00352,integrase-like protein,DNA metabolism; Mobile and extrachromosomal element functions,DNA metabolism
SAOUHSC_00353,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00354,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00355,hypothetical protein,Hypothetical proteins,Unknown/Hypothetical
SAOUHSC_00356,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00357,hypothetical protein,Protein synthesis,Translation
SAOUHSC_00358,hypothetical protein,Protein fate,Protein fate
SAOUHSC_A00354,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00359,phosphoglycerate mutase family protein,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_00360,hypothetical protein,Energy metabolism,Energy metabolism
SAOUHSC_00362,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00363,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00364,alkyl hydroperoxide reductase subunit F,Cellular processes,Cellular processes
SAOUHSC_00365,alkyl hydroperoxide reductase subunit C,Cellular processes,Cellular processes
SAOUHSC_00366,NAD(P)H-flavin oxidoreductase,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_00367,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00368,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00369,hypothetical protein,DNA metabolism,DNA metabolism
SAOUHSC_00370,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00371,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00372,xanthine phosphoribosyltransferase,"Purines, pyrimidines, nucleosides, and nucleotides",Nucleotide metabolism
SAOUHSC_00373,xanthine permease,,Unknown/Hypothetical
SAOUHSC_00374,inosine-5'-monophosphate dehydrogenase,"Purines, pyrimidines, nucleosides, and nucleotides",Nucleotide metabolism
SAOUHSC_00375,GMP synthase,"Purines, pyrimidines, nucleosides, and nucleotides",Nucleotide metabolism
SAOUHSC_00376,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00377,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00378,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00381a,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00381,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00382,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00383,superantigen-like protein,,Virulence
SAOUHSC_00384,superantigen-like protein,,Virulence
SAOUHSC_00386,superantigen-like protein,"Biosynthesis of cofactors, prosthetic groups, and carriers",Virulence
SAOUHSC_00387,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00389,superantigen-like protein,,Virulence
SAOUHSC_00390,superantigen-like protein 5,,Virulence
SAOUHSC_A00379,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00391,superantigen-like protein,,Virulence
SAOUHSC_00392,superantigen-like protein 7,,Virulence
SAOUHSC_00393,superantigen-like protein,,Virulence
SAOUHSC_00394,superantigen-like protein,,Virulence
SAOUHSC_00395,superantigen-like protein,,Virulence
SAOUHSC_00396,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00397,type I restriction-modification system subunit M,DNA metabolism,DNA metabolism
